"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"7";"";"CONN_01";"1X01";"J3, J4, J5, J6, J7, J8, J9";"Single connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";
"1";"";"LED3MM";"LED3MM";"LED1";"LEDs";"";
"1";"";"RPI_PICO_IG-TH";"RPI_PICO_TH";"X1";"";"";
"4";"100R";"RESISTOR0805";"0805";"R8, R15, R28, R30";"Generic Resistor Package";"";
"2";"100k";"RESISTOR0402";"0402";"R2, R16";"Generic Resistor Package";"";
"3";"100n 50v X7R/X5R";"CAP0805";"0805";"C9, C10, C11";"Capacitor";"";
"1";"10k";"RESISTOR0805";"0805";"R66";"Generic Resistor Package";"";
"1";"130R";"RESISTOR0805";"0805";"R35";"Generic Resistor Package";"";
"1";"250mA/100V";"DIODE-BAS16J";"SOD-323";"D1";"Diode";"";
"3";"2N7002PW";"MOSFET-NCHANNEL2N7002PW";"SOT323";"Q2, Q3, Q6";"Common NMOSFET Parts";"";
"3";"2k2";"RESISTOR0805";"0805";"R25, R26, R27";"Generic Resistor Package";"";
"1";"302-S201";"302-S201";"SHDR20W66P254_2X10_3300X905X90";"J1";"CONN HEADER VERT 20POS GOLD";"";
"5";"33";"RESISTOR0805";"0805";"R20, R21, R22, R24, R29";"Generic Resistor Package";"";
"1";"330R";"RESISTOR0805";"0805";"R31";"Generic Resistor Package";"";
"4";"47";"RESISTOR0805";"0805";"R3, R9, R11, R13";"Generic Resistor Package";"";
"1";"47K";"RESISTOR0805";"0805";"R6";"Generic Resistor Package";"";
"2";"47k";"RESISTOR0402";"0402";"R1, R5";"Generic Resistor Package";"";
"5";"51k";"RESISTOR0805";"0805";"R4, R7, R10, R12, R14";"Generic Resistor Package";"";
"1";"BAV199";"BAV199";"SOT23";"D2";"DIODE";"";
"1";"Display";"OLED_LCD";"OLED_LCD";"DISPLAY";"";"";
"1";"MAX4634EUB+T";"MAX4634EUB+T";"SOP50P490X110-10N";"IC1";"Multiplexer Switch ICs Fast, Low-Voltage, 4 Ohm, 4-Channel CMOS Analog Multiplexer";"";
"1";"MMSZ5227B-7-F";"MMSZ5227B-7-F";"SOD3716X135N";"Z1";"Diode Zener 3.6V 5% 500mW 2Pin SOD123 Diodes Inc MMSZ5227B-7-F Zener Diode, 3.6V 5% 500 mW SMT 2-Pin SOD-123";"";
"3";"MOMENTARY-SWITCH-SPST-SMD-5.2MM";"MOMENTARY-SWITCH-SPST-SMD-5.2MM";"TACTILE_SWITCH_SMD_5.2MM";"S1, S2, S3";"Momentary Switch (Pushbutton) - SPST";"";
"4";"PJA3416AE_R1_00001";"PJA3416AE_R1_00001";"SOT23_PJA3416_PNJ";"Q1, Q5, Q8, Q9";"";"";
"2";"RQ3G110ATTB";"RQ3G110ATTB";"RQ3G110ATTB";"Q4, Q7";"ROHM - RQ3G110ATTB - Power MOSFET, P Channel, 40 V, 35 A, 0.0098 ohm, RDS 12.4m, PD 20W, HSMT8, Surface Mount";"";
